,Product,ihs_match
623,DIPHENYL CARBONATE,DIPHENYL CARBONATE PRODUCTION ACCORDING TO THE ASAHI KASEI PROCESS
624,DIPHENYL CARBONATE,DIPHENYL CARBONATE FROM ETHYLENE CARBONATE BY ASAHI TECHNOLOGY
625,DIPHENYL CARBONATE,DIPHENYL CARBONATE FROM PHENOL BY OXIDATIVE CARBONYLATION USING FIXED-BED REACTORS
626,DIPHENYL CARBONATE,DIPHENYL CARBONATE FROM PHENOL VIA DPO WITH UBE TECHNOLOGY
627,DIPHENYL CARBONATE,DIPHENYL CARBONATE PRODUCTION BY A PROCESS SIMILAR TO ASAHI KASEI PROCESS
629,DIPHENYL ISOPHTHALATE,DIPHENYL ISOPHTHALATE MANUFACTURE FROM ISOPHTHALIC ACID AND PHENOL
630,DIPHENYL TEREPHTHALATE,DIPHENYL TEREPHTHALATE MANUFACTURE FROM TEREPHTHALIC ACID AND PHENOL
631,DIPHENYLAMINE,DIPHENYLAMINE FROM ANILINE BY LIQUID PHASE CONDENSATION
637,DL-METHIONINE,DL-METHIONINE FROM ACROLEIN BY CHEMICAL SYNTHESIS (DEGUSSA)
638,DL-METHIONINE,DL-METHIONINE FROM ACROLEIN BY CHEMICAL SYNTHESIS (SUMITOMO CHEMICAL-DUPONT)
639,"DM-2,6-NAPHTHALENE DICARBOXYLATE","DIMETHYL-2,6-NAPHTHALENEDICARBOXYLATE FROM O-XYLENE"
640,DMPCT,"O,O-DIMETHYL PHOSPHOROCHLORIDOTHIOATE FROM P4S10, CH3OH, AND Cl2"
641,DODECYL ALCOHOL ETHOXYLATE,DODECYL ALCOHOL ETHOXYLATE NONIONIC SURFACTANT
642,DODECYL DIMETHYLAMINE OXIDE,DODECYL DIMETHYLAMINE OXIDE NONIONIC SURFACTANT
643,DODECYLPHENOL,DODECYLPHENOL FROM DODECENE AND PHENOL BY AN ION-EXCHANGE CATALYZED PROCESS
645,"ELASTOMER, COPOLYESTER-ETHER","ELASTOMER, COPOLYESTER-ETHER FROM DMT, PTMEG, AND 1,4-BUTANEDIOL"
646,"ELASTOMER, EPICHLOROHYDRIN","ELASTOMER, EPICHLOROHYDRIN, BY SLURRY POLYMERIZATION PROCESS WITH THF RECOVERY"
647,"ELASTOMER, EPICHLOROHYDRIN","ELASTOMER, EPICHLOROHYDRIN, BY SLURRY POLYMERIZATION"
648,"ELASTOMER, FLUOROCARBON","ELASTOMER, FLUOROCARBON, BY CONTINUOUS EMULSION POLYMERIZATION"
649,"ELASTOMER, POLYAMIDE","ELASTOMER, POLYAMIDE FROM CAPROLACTAM, ADIPIC ACID, AND POLYTETRAMETHYLENE GLYCOL"
650,"ELASTOMER, POLYOLEFIN","ELASTOMER, POLYOLEFIN, BY SEQUENTIAL IN-REACTOR PROCESS"
651,"ELASTOMER, POLYURETHANE","ELASTOMER, POLYURETHANE FROM MDI, POLYBUTANEDIOL ADIPATE, AND BUTANEDIOL"
652,"ELASTOMER, POLYURETHANE","ELASTOMER, POLYURETHANE FROM MDI, POLYOXYPROPYLENE GLYCOL, AND BUTANEDIOL"
653,"ELASTOMER, POLYURETHANE","ELASTOMER, POLYURETHANE FROM MDI, POLYETHER GLYCOL I, AND 1,4-BUTANEDIOL"
656,EPDM RUBBER,EPDM RUBBER BY SOLUTION PROCESS WITH EXPOLTM CATALYST
657,EPDM RUBBER,"EPDM RUBBER CONTAINING 1,4-HEXADIENE BY A SOLUTION PROCESS"
658,EPDM RUBBER,EPDM RUBBER CONTAINING ETHYLIDENE NORBORNENE BY A GAS PHASE PROCESS
659,EPDM RUBBER,EPDM RUBBER CONTAINING ETHYLIDENE NORBORNENE BY A SOLUTION PROCESS
660,EPDM RUBBER,EPDM RUBBER CONTAINING ETHYLIDENE NORBORNENE BY A SUSPENSION PROCESS
661,EPDM RUBBER,EPDM RUBBER CONTAINING ETHYLIDENE NORBORNENE BY A SOLUTION PROCESS - INSITE(TM) METALLOCENE CATALYST
662,EPDM VI IMPROVER-DISPERSANT,EPDM VISCOSITY INDEX IMPROVER-DISPERSANT LUBRICATING OIL ADDITIVE PROCESS
663,EPICHLOROHYDRIN,EPICHLOROHYDRIN FROM CHLORINE AND PROPYLENE VIA ALLYL CHLORIDE
664,EPICHLOROHYDRIN,EPICHLOROHYDRIN FROM CRUDE GLYCERIN
665,EPICHLOROHYDRIN,EPICHLOROHYDRIN FROM ALLYL CHLORIDE BY CHLOROHYDRINATION
666,"EPOXY NOVOLAC RESIN, ECN","EPOXY NOVOLAC RESIN, ECN BY ALTERNATIVE PROCESS (O-CRESOL-BASED)"
667,"EPOXY NOVOLAC RESIN, ECN","EPOXY NOVOLAC RESIN, ECN BY CONVENTIONAL PROCESS (O-CRESOL-BASED)"
668,"EPOXY NOVOLAC RESIN, ECN","EPOXY NOVOLAC RESIN, SOLID BY INTEGRATED PROCESS"
669,"EPOXY NOVOLAC RESIN, EPN","EPOXY NOVOLAC RESIN, EPN BY ALTERNATIVE PROCESS (PHENOL-BASED)"
670,"EPOXY NOVOLAC RESIN, EPN","EPOXY NOVOLAC RESIN, EPN BY CONVENTIONAL PROCESS (PHENOL-BASED)"
671,"EPOXY, HMW, DGEBPA & BPA","EPOXY, HIGH MOLECULAR WEIGHT SOLUTION FROM DGEBA AND BISPHENOL A GRADE B"
672,"EPOXY, HMW, DGEBPA & BPA","EPOXY, HIGH MOLECULAR WEIGHT SOLUTION FROM DGEBA AND BISPHENOL A GRADE A"
673,"EPOXY, HMW, DGEBPA & BPA","EPOXY, HIGH MOLECULAR WEIGHT SOLUTION FROM DGEBA AND BISPHENOL A, INTEGRATED"
674,"EPOXY, HMW, DGEBPA & BPA","EPOXY, HIGH MOLECULAR WEIGHT SOLUTION BY ADVANCEMENT PROCESS FROM DGEBA AND BPA"
675,"EPOXY, HMW, DGEBPA & BPA","EPOXY, HIGH MOLECULAR WEIGHT SOLUTION FROM DGEBA AND BISPHENOL A GRADE C"
676,"EPOXY, LIQUID, DGEBPA","EPOXY, LIQUID, DIGLYCIDYL ETHER OF BISPHENOL A BY A TWO-STEP BATCH PROCESS"
677,"EPOXY, LIQUID, DGEBPA","EPOXY, LIQUID, DIGLYCIDYL ETHER OF BISPHENOL A BY A TWO-STEP CONT. PROCESS"
678,"EPOXY, LIQUID, TGMDA","EPOXY, LIQUID, TETRAGLYCIDYL METHYLENE DIANILINE FROM ANILINE, OCH2, AND ECH"
679,"EPOXY, LIQUID, TGMDA","EPOXY, LIQUID, TETRAGLYCIDYL METHYLENE DIANILINE FROM MDA AND EPICHLOROHYDRIN"
680,"EPOXY, SOLID","EPOXY, SOLID BY TAFFY PROCESS"
681,"EPOXY, SOLID, DGEBPA & BPA","EPOXY, SOLID, FROM EPOXY, LIQUID, DGEBA, AND BISPHENOL A BY ADVANCEMENT PROCESS"
682,"EPOXY, SOLID, DGEBPA & BPA","EPOXY, SOLID, FROM DGEBA AND BISPHENOL A, INTEGRATED"
683,"EPOXY, SOLID, DGEBPA & BPA","EPOXY, SOLID FROM DGEBA AND BISPHENOL A, GRADE C"
684,"EPOXY, SOLID, DGEBPA & BPA","EPOXY, SOLID FROM DGEBA AND BISPHENOL A, GRADE B"
685,"EPOXY, SOLID, DGEBPA & BPA","EPOXY, SOLID FROM DGEBA AND BISPHENOL A, GRADE A"
686,"EPOXY, SOLID, TGBAPPB","EPOXY, SOLID, TETRAGLYCIDYL AMINE FROM BAPPB AND EPICHLOROHYDRIN"
687,"EPOXY, SOLID, TGETPE","EPOXY, SOLID, TETRAGLYCIDYL ETHER OF TETRAPHENYLOL ETHANE (TGETPE) PROCESS"
688,"EPOXY, SOLID, TGPAP","EPOXY, SOLID, TRIGLYCIDYL P-AMINOPHENOL PROCESS"
691,"ETHANE, LIQUEFIED",LIQUEFIED ETHANE EXPORT TERMINAL
694,ETHANOL,ETHANOL FOR GASOHOL FROM LIGNOCELLULOSE BIOMASS
695,ETHANOL,ETHANOL FROM MUNICIPAL SOLID WASTE BY CONCENTRATED ACID HYDROLYSIS
696,ETHANOL,ETHANOL FROM SUGARCANE
697,ETHANOL,ETHANOL FROM SWITCHGRASS
698,ETHANOL,ETHANOL FROM SYNGAS VIA DMTE TECHNOLOGY
699,ETHANOL,ETHANOL FROM WHEAT STRAW
700,ETHANOL,ETHANOL PRODUCTION BY CELANESE ACETYL TECHNOLOGY
701,ETHANOL,ETHANOL PRODUCTION FROM CORN STOVER
702,ETHANOL,ETHANOL PRODUCTION VIA SYNGAS FERMENTATION USING BIOMASS SYNGAS
703,ETHANOL,ETHANOL PRODUCTION VIA SYNGAS FERMENTATION USING STEEL MILL GASES
704,ETHANOL,ETHANOL VIA HYDRATION OF ETHYLENE
705,ETHANOL,THERMOCHEMICAL ETHANOL VIA SYNGAS FERMENTATION
706,ETHANOL,ETHANOL FROM CORN STOVER
707,ETHANOL,ETHANOL FROM CORN DRY MILL PROCESS
708,ETHANOL,ETHANOL FROM CORN DRY MILL
709,ETHANOL,ETHANOL FROM CORN COB BY AMMONIA PRETREATMENT PROCESS
710,ETHANOL,ETHANOL FROM CARBON MONOXIDE AND HYDROGEN
711,ETHANOL,ETHANOL FROM BIOMASS SYNGAS
712,ETHANOL,ETHANOL FROM BAGASSE WITH IN-HOUSE ENZYME PREPARATION
713,ETHANOL,ETHANOL FROM BAGASSE
714,ETHANOL,"ETHANOL (2,3-BUTANEDIOL BYPRODUCT) VIA SYNGAS FERMENTATION USING BIOMASS SYNGAS"
715,ETHANOL,ETHANOL BY BETARENEWABLE CELLULOSIC PROCESS CASE III
716,ETHANOL,ETHANOL BY DUPONT CELLULOSIC PROCESS CASE II
717,ETHANOL,ETHANOL FROM ETHYLENE BY CATALYTIC HYDRATION
718,ETHANOL,ETHANOL BY POET-DSM PROCESS CASE 1
719,ETHANOL,ETHANOL FOR GASOHOL FROM CORN (CYCLOHEXANE AS THE ENTRAINER)
720,ETHANOL,ETHANOL FROM A CORN DRY MILL PROCESS
721,ETHANOL,ETHANOL FROM CORN STOVER UPDATE
722,ETHANOL (99.7%),ETHANOL FOR GASOHOL FROM SUGAR BEETS
723,ETHANOL (99.7%),ETHANOL FOR GASOHOL FROM CORN (BENZENE AS THE ENTRAINER)
724,ETHANOLAMINES,"ETHANOLAMINES FROM AMMONIA AND ETHYLENE OXIDE, 5:1 MOLAR REACTOR FEED RATIO"
725,ETHANOLAMINES,"ETHANOLAMINES FROM AMMONIA AND ETHYLENE OXIDE, 20:1 MOLAR REACTOR FEED RATIO"
726,ETHANOX(R) 330,ETHANOX(R) 330 (A HIGH MOLECULAR WEIGHT ANTIOXIDANT)
727,ETHYL ACETATE,ETHYL ACETATE FROM ETHANOL BY DEHYDROGENATION
728,ETHYL ACETATE,ETHYL ACETATE BY DIRECT ADDITION OF ETHYLENE AND ACETIC ACID
729,ETHYL ACRYLATE,ETHYL ACRYLATE FROM ACRYLIC ACID BY ESTERIFICATION
734,ETHYL LACTATE,ETHYL LACTATE VIA MEMBRANE SEPARATION
735,ETHYL LACTATE,ETHYL LACTATE VIA LACTIDE PROCESS
737,ETHYL T-BUTYL ETHER,ETHYL T-BUTYL ETHER FROM MIXED BUTYLENES AND GRAIN DERIVED ETHANOL
738,ETHYL T-BUTYL ETHER,ETHYL T-BUTYL ETHER FROM A CAT-CRACKED C4 STREAM
739,ETHYLBENZENE,ETHYLBENZENE FROM BENZENE BY VAPOR-PHASE ALKYLATION
740,ETHYLBENZENE,"ETHYLBENZENE FROM BENZENE BY LIQUID-PHASE ALKYLATION, AlCl3 CAT."
741,ETHYLBENZENE,"ETHYLBENZENE FROM BENZENE BY LIQUID-PHASE ALKYLATION, ZEOLITE CAT."
742,ETHYLBENZENE,"ETHYLBENZENE FROM BENZENE BY VAPOR-PHASE ALKYLATION, DILUTE ETHYLENE FEED"
743,ETHYLBENZENE,ETHYLBENZENE FROM BUTADIENE VIA 4-VINYLCYCLOHEXENE BY THE DSM-CHIYODA PROCESS
744,ETHYLBENZENE,ETHYLBENZENE FROM ETHYLENE AND BENZENE VIA ZEOLITE CATALYZED PROCESS
745,ETHYLBENZENE,ETHYLBENZENE FROM LIQUID-PHASE ALKYLATION OF DILUTE ETHYLENE BY LUMMUS PROCESS
746,ETHYLBENZENE,ETHYLBENZENE PRODUCTION WITH AN IONIC LIQUID
747,ETHYLBENZENE,ETHYLBENZENE VIA DOW ETHANE BASED PROCES
748,ETHYLBENZENE,ETHYLBENZENE BY BADGER EBMAX™ LIQUID PHASE ALKYLATION PROCESS
750,ETHYLENE,"ETHYLENE FROM VACUUM GAS OIL, HYDROCRACKED BY THE LINDE AG PROCESS"
751,ETHYLENE,"ETHYLENE FROM VACUUM GAS OIL, HYDROCRACKED BY UNICRACKING/FPP"
752,ETHYLENE,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER"
753,ETHYLENE,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER"
754,ETHYLENE,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
755,ETHYLENE,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEMETHANIZER"
756,ETHYLENE,ETHYLENE PRODUCTION FROM COAL BY OX-ZEO PROCESS
757,ETHYLENE,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
758,ETHYLENE,ETHYLENE FROM WIDE-RANGE NAPHTHA BY MILLISECOND(TM) CRACKING/ HIGH SEVERITY
759,ETHYLENE,ETHYLENE FROM WIDE-RANGE NAPHTHA BY MILLISECOND(TM) CRACKING/ MILD SEVERITY
760,ETHYLENE,ETHYLENE FROM VACUUM GAS OIL BY MILLISECOND(TM) CRACKING/ DEMETHANIZATION
761,ETHYLENE,ETHYLENE PRODUCTION FROM COAL BY SARI PROCESS
762,ETHYLENE,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER"
763,ETHYLENE,"ETHYLENE FROM REFINERY GAS, INCLUDING STEAM CRACKING OF ETHANE AND PROPANE"
764,ETHYLENE,ETHYLENE FROM OXIDATIVE COUPLING OF METHANE BY SILURIA PROCESS
765,ETHYLENE,ETHYLENE FROM REFINERY GAS BY THE BIMETALLIC SALT COMPLEXING PROCESS
766,ETHYLENE,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER"
767,ETHYLENE,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
768,ETHYLENE,ETHYLENE FROM METHANOL
769,ETHYLENE,ETHYLENE FROM N-BUTANE BY CONVENTIONAL CRACKING WITH FRONT-END DEETHANIZATION
770,ETHYLENE,ETHYLENE FROM NAPHTHA CRACKING FUSING ELECTRIC FURNACE TECHNOLOGY
771,ETHYLENE,ETHYLENE FROM NAPHTHA CRACKING USING COOLBROOK RDR TECHNOLOGY
772,ETHYLENE,ETHYLENE FROM REFINERY GAS BY THE EXPANDER PROCESS
773,ETHYLENE,ETHYLENE FROM NAPHTHA VIA ACO PROCESS
774,ETHYLENE,ETHYLENE FROM NATURAL GAS BY OXIDATIVE COUPLING
775,ETHYLENE,ETHYLENE FROM NATURAL GAS BY THE ICI METHANOL AND MOBIL ZEOLITE CAT. PROCESS
776,ETHYLENE,ETHYLENE FROM NORMAL BUTANE
777,ETHYLENE,ETHYLENE PRODUCTION FROM SYNGAS BY OX-ZEO PROCESS
778,ETHYLENE,ETHYLENE FROM OXIDATIVE COUPLING OF METHANE BY SILURIA PROCESS W/ ASU
779,ETHYLENE,ETHYLENE FROM PROPANE BY CONVENTIONAL CRACKING WITH FRONT-END DEETHANIZATION
780,ETHYLENE,ETHYLENE FROM NAPHTHA VIA DOWNFLOW FCC PROCESS
781,ETHYLENE,ETHYLENE PRODUCTION FROM SYNGAS BY SARI PROCESS
782,ETHYLENE,METHANOL TO ETHYLENE BY THE UOP/HYDRO PROCESS
783,ETHYLENE,ETHYLENE VIA ACETYLENE FROM THE PARTIAL COMBUSTION PROCESS
784,ETHYLENE,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
785,ETHYLENE,COAL TO ETHYLENE PROCESS
786,ETHYLENE,ETHYLENE BY THE UOP/HYDRO METHANOL TO OLEFINS PROCESS
787,ETHYLENE,ETHYLENE FROM 100% ETHANE
788,ETHYLENE,ETHYLENE FROM 50:50 ETHANE:PROPANE MIX
789,ETHYLENE,ETHYLENE FROM ATMOSPHERIC GAS OIL BY MILLISECOND(TM) CRACKING/DEMETHANIZATION
790,ETHYLENE,ETHYLENE FROM ATOL™ PROCESS BY AXENS
791,ETHYLENE,ETHYLENE FROM CONDENSATE WITH FRONT-END DEPROPANIZER MAXIMUM PROPYLENE
792,ETHYLENE,ETHYLENE FROM CRUDE OIL BY EXXONMOBIL PROCESS
793,ETHYLENE,ETHYLENE FROM CRUDE OIL BY SAUDI ARAMCO PROCESS
794,ETHYLENE,ETHYLENE FROM ETHANE BY CONVENTIONAL CRACKING WITH FRONT-END DEETHANIZATION
795,ETHYLENE,ETHYLENE FROM ETHANE BY OXYDEHYDROGENATION
796,ETHYLENE,ETHYLENE FROM ETHANE BY STEAM CRACKING
797,ETHYLENE,ETHYLENE FROM ETHANE OXIDATIVE DEHYDROGENATION USING ECOCATALYTIC CHEMICAL LOOPING
798,ETHYLENE,ETHYLENE FROM ETHANE-PROPANE BY CONVENTIONAL CRACKING/FRONT-END DEETHANIZATION
799,ETHYLENE,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION
800,ETHYLENE,ETHYLENE FROM ETHANOL BY FLUIDIZED-BED CATALYTIC DEHYDRATION
801,ETHYLENE,ETHYLENE VIA ACETYLENE FROM THE PARTIAL COMBUSTION PROCESS (METHANOL COPRODUCT)
802,ETHYLENE,ETHYLENE VIA MIXED FEED STEAM CRACKING
803,ETHYLENE,METHANOL TO OLEFINS BY THE DMTO PROCESS
804,ETHYLENE,METHANOL TO OLEFINS BY THE DMTO PROCESS II
805,ETHYLENE,METHANOL TO OLEFINS BY THE DMTO-II PROCESS
806,ETHYLENE,METHANOL TO OLEFINS BY UOP ADVANCED MTO PROCESS
807,ETHYLENE,ETHYLENE VIA ACETYLENE FROM ELECTRIC ARC PROCESS
808,ETHYLENE,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM PROPYLENE CASE, FRONT END DEMETHANIZER"
809,ETHYLENE,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER"
810,ETHYLENE,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER"
811,ETHYLENE,ETHYLENE FROM LIGHT NAPHTHA BY CONVENTIONAL CRACKING/FRONT-END DEETHANIZATION
812,ETHYLENE,ETHYLENE FROM HUMMINGBIRD™ PROCESS BY TECHNIPFMC
813,ETHYLENE,ETHYLENE FROM ETHANOL DEHYDRATION PROCESS BY BRASKEM
815,ETHYLENE CARBONATE,ETHYLENE CARBONATE FROM ETHYLENE OXIDE AND CARBON DIOXIDE
816,ETHYLENE CARBONATE,ETHYLENE CARBONATE FROM ETHYLENE OXIDE
817,ETHYLENE DICHLORIDE,"ETHYLENE DICHLORIDE BY OXYCHLORINATION: FLUIDIZED-BED REACTOR, OXYGEN-BASED (OXY VINYLS)"
818,ETHYLENE DICHLORIDE,ETHYLENE DICHLORIDE BY DIRECT CHLORINATION: LIQUID-PHASE HTC PROCESS (INOVYL)
819,ETHYLENE DICHLORIDE,"ETHYLENE DICHLORIDE BY OXYCHLORINATION: FIXED-BED REACTOR, OXYGEN-BASED (INOVYL)"
820,ETHYLENE DICHLORIDE,ETHYLENE DICHLORIDE BY DIRECT CHLORINATION: LIQUID-PHASE HTC PROCESS (OXY VINYLS)
822,ETHYLENE GLYCOL,ETHYLENE GLYCOL PRODUCTION FROM SYNGAS BY SINOPEC PROCESS
823,ETHYLENE GLYCOL,ETHYLENE GLYCOL PRODUCTION FROM SYNGAS BY FUJIAN PROCESS
824,ETHYLENE GLYCOL,ETHYLENE GLYCOL PRODUCTION FROM COAL BY UBE PROCESS
825,ETHYLENE GLYCOL,ETHYLENE GLYCOL PRODUCTION FROM COAL BY SINOPEC PROCESS
826,ETHYLENE GLYCOL,ETHYLENE GLYCOL PRODUCTION FROM COAL BY FUJIAN PROCESS
827,ETHYLENE GLYCOL,ETHYLENE OXIDE AND ETHYLENE GLYCOL FROM ETHYLENE AND AIR (NO EO FOR SALES)
828,ETHYLENE GLYCOL,ETHYLENE GLYCOL FROM ETHYLENE AND OXYGEN VIA EO (ALL EO FOR EG)
829,ETHYLENE GLYCOL,ETHYLENE GLYCOL FROM ETHYLENE AND OXYGEN VIA EO (50% EO MARKETABLE)
830,ETHYLENE GLYCOL,DOW HIGH EFFICIENCY ETHYLENE GLYCOL PROCESS
831,ETHYLENE GLYCOL,BIO-MEG VIA THE CONVENTIONAL FOUR-STEP PROCESS FROM CORN
832,ETHYLENE GLYCOL,BIO-MEG VIA CORN WET MILLING AND THE MOSAIK™ PROCESS
833,ETHYLENE GLYCOL,BIO-MEG VIA CORN WET MILLING AND AVANTIUM HYDROGENOLYSIS
834,ETHYLENE GLYCOL,SHELL HIGH EFFICIENCY ETHYLENE GLYCOL PROCESS
835,ETHYLENE GLYCOL,ETHYLENE GLYCOL PRODUCTION FROM SYNGAS BY UBE PROCESS
836,ETHYLENE GLYCOL,ETHYLENE GLYCOL FROM ETHYLENE OXIDE BY THERMAL HYDRATION
837,ETHYLENE GLYCOL,ETHYLENE GLYCOL FROM FORMALDEHYDE
838,ETHYLENE GLYCOL BUTYL ETHERS,ETHYLENE GLYCOL BUTYL ETHERS FROM ETHYLENE OXIDE AND N-BUTANOL
841,ETHYLENE GLYCOL ETHYL ETHERS,ETHYLENE GLYCOL ETHYL ETHERS FROM ETHYLENE OXIDE AND ETHANOL
843,ETHYLENE GLYCOL T-BUTYL ETHER,ETHYLENE GLYCOL T-BUTYL ETHER FROM ETHYLENE GLYCOL AND ISOBUTYLENE
846,ETHYLENE OXIDE,ETHYLENE OXIDE FROM ETHYLENE BY AIR OXIDATION(ALL MARKETABLE ETHYLENE OXIDE)
847,ETHYLENE OXIDE,ETHYLENE OXIDE BY NIPPON SHOKUBAI PROCESS
848,ETHYLENE OXIDE,ETHYLENE OXIDE BY SHELL MASTER PROCESS
849,ETHYLENE OXIDE,"ETHYLENE OXIDE BY THE ARCO PROCESS (50% MARKETABLE EO, 50% FOR EG)"
850,ETHYLENE OXIDE,ETHYLENE OXIDE BY THE ARCO PROCESS (ALL MARKETABLE EO)
851,ETHYLENE OXIDE,ETHYLENE OXIDE FROM ETHYLENE BY OXYGEN OXIDATION (ALL MARKETABLE ETHYLENE OXIDE)
854,ETHYLENE PLANT FEEDSTOCK,"ETHYLENE PLANT FEEDSTOCK, MERCURY-FREE, BY THE CALGON CARBON"
855,ETHYLENE PLANT FEEDSTOCK,"ETHYLENE PLANT FEEDSTOCK, MERCURY-FREE, BY THE STAMICARBON"
856,ETHYLENE PLANT FEEDSTOCK,"ETHYLENE PLANT FEEDSTOCK, MERCURY-FREE, BY THE IFP PROCESS"
857,ETHYLENE VINYL ALCOHOL,ETHYLENE VINYL ALCOHOL COPOLYMER PROCESS
860,ETHYLENE-NORBORNENE COPOLYMER,ETHYLENE-NORBORNENE COPOLYMER FROM ETHYLENE AND NORBORNENE
861,ETHYLENE-PROPYLENE COPOLYMER,ETHYLENE-PROPYLENE COPOLYMER RUBBERS BY A SIMPLIFIED SUSPENSION PROCESS
863,ETHYLENE/MA ACID IONOMER,ETHYLENE/METHACRYLIC ACID IONOMER USING A HIGH PRESSURE AUTOCLAVE PROCESS
864,ETHYLENE/METHYL ACRYLATE,ETHYLENE/METHYL ACRYLATE COPOLYMER FROM A HIGH PRESSURE AUTOCLAVE PROCESS
866,ETHYLENE/OCTENE OLEFINC BLOCK COPOLYMER,OBC PRODUCTION BY A SOLUTION PROCESS USING DOW CHEMICAL’S CHAIN SHUTTLING TECHNOLOGY
867,ETHYLENE/VA COPOLYMER,ETHYLENE/VINYL ACETATE COPOLYMER BY AN AUTOCLAVE REACTOR PROCESS
868,ETHYLENE/VA COPOLYMER,ETHYLENE/VINYL ACETATE COPOLYMER USING A TUBULAR REACTOR PROCESS
869,ETHYLENE/VA COPOLYMER,EVA BY A TUBULAR REACTOR PROCESS
870,ETHYLENE/VA COPOLYMER,EVA BY AN AUTOCLAVE REACTOR PROCESS
873,ETHYLENEAMINES,ETHYLENEAMINES FROM ETHYLENE OXIDE AND ETHYLENE DICHLORIDE
874,ETHYLENEAMINES,ETHYLENEAMINES FROM ETHYLENE OXIDE VIA MONOETHANOLAMINE
875,ETHYLENEAMINES,ETHYLENEAMINES FROM ETHYLENE DICHLORIDE
876,ETHYLENEAMINES,ETHYLENEAMINES FROM MONOETHANOLAMINE
877,ETHYLENEDIAMINE,ETHYLENEDIAMINE VIA THE AMINATION OF MONOETHANOLAMINE
879,EVOH BARRIER RESIN,ETHYLENE/VINYL ALCOHOL BARRIER RESIN PROCESS
882,"FATTY ACIDS, TALL OIL",FATTY ACIDS FROM CRUDE TALL OIL
883,"FATTY ACIDS, TALLOW",FATTY ACIDS FROM TALLOW BY HYDROLYSIS
885,"FATTY AMINES, TALLOW",FATTY AMINES FROM TALLOW FATTY ACIDS
886,FDCA/DIMETHYL FURANOATE,FURAN DICARBOXYLIC ACID MONOMER AND DMF FROM C6 SUGAR VIA AVANTIUM TECHNOLOGY
887,FENVALERATE,FENVALERATE PYRETHROID INSECTICIDE
888,FEP RESIN,FLUORINATED ETHYLENE-PROPYLENE COPOLYMER BY CONVENTIONAL AQUEOUS EMULSION POLYMERIZATION
889,FEP RESIN,FLUORINATED ETHYLENE-PROPYLENE COPOLYMER BY CONTINUOUS PRECIPITATION POLYMERIZATION
890,FEP RESIN,FEP RESIN BY CONTINUOUS PRECIPITATION POLYMERIZATION PROCESS WITH CO2 MEDIUM
891,FERRO CHROME LIGNOSULFONATE,FERRO-CHROME LIGNOSULFONATE FROM SPENT SULFITE LIQUOR
896,FORMALDEHYDE,FORMALDEHYDE FROM METHANOL BY BASF SILVER CATALYST
897,FORMALDEHYDE,FORMALDEHYDE FROM METHANOL BY DYNEA SILVER CATALYST
898,FORMALDEHYDE,FORMALDEHYDE FROM METHANOL BY DB WESTERN METAL OXIDE CATALYST
899,FORMALDEHYDE,FORMALDEHYDE FROM METHANOL BY JOHNSON MATTHEY METAL OXIDE CATALYST
902,FORMALDEHYDE (50%),FORMALDEHYDE FROM METHANOL BY THE TOPSOE SR PROCESS
903,FORMALDEHYDE (50%),"FORMALDEHYDE FROM METHANOL, SILVER CATALYST"
904,FORMALDEHYDE (50%),"FORMALDEHYDE FROM METHANOL, FERRIC-MOLYBDATE CATALYST"
906,FORMIC ACID (85%),FORMIC ACID (85%) BY HALCON/SD PROCESS
907,FORMIC ACID (85%),FORMIC ACID (85%) VIA IMPROVED KEMIRA PROCESS
908,FORMIC ACID (85%),FORMIC ACID (85%) BY LEONARD PROCESS
909,FORMIC ACID (85%),FORMIC ACID (85%) BY BASF PROCESS
910,"FRUCTOSE CORN SYRUP, HIGH","FRUCTOSE CORN SYRUP, HIGH, BY AN IMMOBILIZED ENZYME"
