,ihs_match,PRODUCT,ROUTE,TECHNOLOGY,LICENSOR
1788,"POLYCARBONATE BY INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1787,"POLYCARBONATE BY MELT PROCESS VIA DIPHENYL CARBONATE BY DIRECT PHOSGENATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1786,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS VIA DMC WITH DOUBLE-TUBE LOOP REACTORS, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1785,POLYCARBONATE BY NON-PHOSGENE MELT PROCESS WITH INTEGRATED DMC AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1784,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS- DIPHENYL CARBONATE BY OXIDATIVE CARBONYLATION, INTEG.",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1783,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIMETHYL CARBONATE USING DOUBLE-TUBE LOOP REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1782,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1781,POLYCARBONATE BY PHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1780,POLYCARBONATE BY PLUG FLOW INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1779,POLYCARBONATE BY VERSALIS/LUMMUS DPC AND EPC’S VARIPLANT PC (MELT) PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1778,POLYCARBONATE PRODUCTION BY A CONVENTIONAL MELT PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1777,POLYCARBONATE PRODUCTION BY A MELT PROCESS SIMILAR TO ASAHI KASEI PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1789,POLYCARBONATE PRODUCTION BY AN INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1800,POLYCARBONATE VIA DOW PHOSGENATION PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1803,"POLYCARBONATE, POLYESTER FROM PHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1804,"POLYCARBONATE, POLYESTER FROM POLYESTER DICARBOXYLIC ACID (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1805,"POLYCARBONATE, POLYESTER FROM TEREPHTHALIC ACID (INTERF.,TRANSEST.,SOLID STATE)",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1806,"POLYCARBONATE, POLYESTER FROM TEREPHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1802,PRODUCTION OF POLYCARBONATE USING SUPERCRITICAL CO2 AS A RAW MATERIAL,POLYCARBONATES,BISPHENOL A,PHOSGENATION,n.a.
1801,POLYCARBONATE BY A LOW METHYLENE CHLORIDE INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1798,"POLYCARBONATE BY ASAHI KASEI NON-PHOSGENE MELT PROCESS WITH INTEGRATED EC, DMC AND DPC GENERATION",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1797,POLYCARBONATE BY ASAHI KASEI’S DPC AND MELT PC PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1796,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH C7 ANTISOLVENT POLYMER RECOVERY,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1795,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM AQUEOUS PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1794,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM TOLUENE PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1793,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH RECYCLE OF SATURATED SALT SOLUTION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1792,POLYCARBONATE BY CONTINUOUS INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1791,POLYCARBONATE BY CONVENTIONAL INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1790,POLYCARBONATE BY CONVENTIONAL MELT PROCESS WITH INTEGRATED PHOSGENE AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1799,POLYCARBONATE BY DOW INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1788,"POLYCARBONATE BY INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1787,"POLYCARBONATE BY MELT PROCESS VIA DIPHENYL CARBONATE BY DIRECT PHOSGENATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1786,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS VIA DMC WITH DOUBLE-TUBE LOOP REACTORS, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1785,POLYCARBONATE BY NON-PHOSGENE MELT PROCESS WITH INTEGRATED DMC AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1784,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS- DIPHENYL CARBONATE BY OXIDATIVE CARBONYLATION, INTEG.",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1783,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIMETHYL CARBONATE USING DOUBLE-TUBE LOOP REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1782,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1781,POLYCARBONATE BY PHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1780,POLYCARBONATE BY PLUG FLOW INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1779,POLYCARBONATE BY VERSALIS/LUMMUS DPC AND EPC’S VARIPLANT PC (MELT) PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1778,POLYCARBONATE PRODUCTION BY A CONVENTIONAL MELT PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1777,POLYCARBONATE PRODUCTION BY A MELT PROCESS SIMILAR TO ASAHI KASEI PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1789,POLYCARBONATE PRODUCTION BY AN INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1800,POLYCARBONATE VIA DOW PHOSGENATION PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1803,"POLYCARBONATE, POLYESTER FROM PHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1804,"POLYCARBONATE, POLYESTER FROM POLYESTER DICARBOXYLIC ACID (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1805,"POLYCARBONATE, POLYESTER FROM TEREPHTHALIC ACID (INTERF.,TRANSEST.,SOLID STATE)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1806,"POLYCARBONATE, POLYESTER FROM TEREPHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1802,PRODUCTION OF POLYCARBONATE USING SUPERCRITICAL CO2 AS A RAW MATERIAL,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,ASAHI KASEI
1801,POLYCARBONATE BY A LOW METHYLENE CHLORIDE INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1798,"POLYCARBONATE BY ASAHI KASEI NON-PHOSGENE MELT PROCESS WITH INTEGRATED EC, DMC AND DPC GENERATION",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1797,POLYCARBONATE BY ASAHI KASEI’S DPC AND MELT PC PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1796,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH C7 ANTISOLVENT POLYMER RECOVERY,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1795,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM AQUEOUS PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1794,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM TOLUENE PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1793,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH RECYCLE OF SATURATED SALT SOLUTION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1792,POLYCARBONATE BY CONTINUOUS INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1791,POLYCARBONATE BY CONVENTIONAL INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1790,POLYCARBONATE BY CONVENTIONAL MELT PROCESS WITH INTEGRATED PHOSGENE AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1799,POLYCARBONATE BY DOW INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1788,"POLYCARBONATE BY INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1787,"POLYCARBONATE BY MELT PROCESS VIA DIPHENYL CARBONATE BY DIRECT PHOSGENATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1786,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS VIA DMC WITH DOUBLE-TUBE LOOP REACTORS, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1785,POLYCARBONATE BY NON-PHOSGENE MELT PROCESS WITH INTEGRATED DMC AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1784,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS- DIPHENYL CARBONATE BY OXIDATIVE CARBONYLATION, INTEG.",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1783,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIMETHYL CARBONATE USING DOUBLE-TUBE LOOP REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1782,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1781,POLYCARBONATE BY PHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1780,POLYCARBONATE BY PLUG FLOW INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1779,POLYCARBONATE BY VERSALIS/LUMMUS DPC AND EPC’S VARIPLANT PC (MELT) PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1778,POLYCARBONATE PRODUCTION BY A CONVENTIONAL MELT PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1777,POLYCARBONATE PRODUCTION BY A MELT PROCESS SIMILAR TO ASAHI KASEI PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1789,POLYCARBONATE PRODUCTION BY AN INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1800,POLYCARBONATE VIA DOW PHOSGENATION PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1803,"POLYCARBONATE, POLYESTER FROM PHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1804,"POLYCARBONATE, POLYESTER FROM POLYESTER DICARBOXYLIC ACID (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1805,"POLYCARBONATE, POLYESTER FROM TEREPHTHALIC ACID (INTERF.,TRANSEST.,SOLID STATE)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1806,"POLYCARBONATE, POLYESTER FROM TEREPHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1802,PRODUCTION OF POLYCARBONATE USING SUPERCRITICAL CO2 AS A RAW MATERIAL,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,GE PLASTICS ENICHEM
1801,POLYCARBONATE BY A LOW METHYLENE CHLORIDE INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1798,"POLYCARBONATE BY ASAHI KASEI NON-PHOSGENE MELT PROCESS WITH INTEGRATED EC, DMC AND DPC GENERATION",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1797,POLYCARBONATE BY ASAHI KASEI’S DPC AND MELT PC PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1796,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH C7 ANTISOLVENT POLYMER RECOVERY,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1795,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM AQUEOUS PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1794,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM TOLUENE PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1793,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH RECYCLE OF SATURATED SALT SOLUTION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1792,POLYCARBONATE BY CONTINUOUS INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1791,POLYCARBONATE BY CONVENTIONAL INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1790,POLYCARBONATE BY CONVENTIONAL MELT PROCESS WITH INTEGRATED PHOSGENE AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1799,POLYCARBONATE BY DOW INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1788,"POLYCARBONATE BY INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1787,"POLYCARBONATE BY MELT PROCESS VIA DIPHENYL CARBONATE BY DIRECT PHOSGENATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1786,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS VIA DMC WITH DOUBLE-TUBE LOOP REACTORS, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1785,POLYCARBONATE BY NON-PHOSGENE MELT PROCESS WITH INTEGRATED DMC AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1784,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS- DIPHENYL CARBONATE BY OXIDATIVE CARBONYLATION, INTEG.",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1783,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIMETHYL CARBONATE USING DOUBLE-TUBE LOOP REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1782,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1781,POLYCARBONATE BY PHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1780,POLYCARBONATE BY PLUG FLOW INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1779,POLYCARBONATE BY VERSALIS/LUMMUS DPC AND EPC’S VARIPLANT PC (MELT) PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1778,POLYCARBONATE PRODUCTION BY A CONVENTIONAL MELT PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1777,POLYCARBONATE PRODUCTION BY A MELT PROCESS SIMILAR TO ASAHI KASEI PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1789,POLYCARBONATE PRODUCTION BY AN INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1800,POLYCARBONATE VIA DOW PHOSGENATION PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1803,"POLYCARBONATE, POLYESTER FROM PHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1804,"POLYCARBONATE, POLYESTER FROM POLYESTER DICARBOXYLIC ACID (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1805,"POLYCARBONATE, POLYESTER FROM TEREPHTHALIC ACID (INTERF.,TRANSEST.,SOLID STATE)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1806,"POLYCARBONATE, POLYESTER FROM TEREPHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1802,PRODUCTION OF POLYCARBONATE USING SUPERCRITICAL CO2 AS A RAW MATERIAL,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,MITSUBISHI CHEMICAL
1801,POLYCARBONATE BY A LOW METHYLENE CHLORIDE INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1798,"POLYCARBONATE BY ASAHI KASEI NON-PHOSGENE MELT PROCESS WITH INTEGRATED EC, DMC AND DPC GENERATION",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1797,POLYCARBONATE BY ASAHI KASEI’S DPC AND MELT PC PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1796,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH C7 ANTISOLVENT POLYMER RECOVERY,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1795,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM AQUEOUS PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1794,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM TOLUENE PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1793,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH RECYCLE OF SATURATED SALT SOLUTION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1792,POLYCARBONATE BY CONTINUOUS INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1791,POLYCARBONATE BY CONVENTIONAL INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1790,POLYCARBONATE BY CONVENTIONAL MELT PROCESS WITH INTEGRATED PHOSGENE AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1799,POLYCARBONATE BY DOW INTERFACIAL PROCESS WITH INTEGRATED PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1788,"POLYCARBONATE BY INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1787,"POLYCARBONATE BY MELT PROCESS VIA DIPHENYL CARBONATE BY DIRECT PHOSGENATION, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1786,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS VIA DMC WITH DOUBLE-TUBE LOOP REACTORS, INTEGRATED",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1785,POLYCARBONATE BY NON-PHOSGENE MELT PROCESS WITH INTEGRATED DMC AND DPC GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1784,"POLYCARBONATE BY NON-PHOSGENE MELT PROCESS- DIPHENYL CARBONATE BY OXIDATIVE CARBONYLATION, INTEG.",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1783,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIMETHYL CARBONATE USING DOUBLE-TUBE LOOP REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1782,POLYCARBONATE BY NONPHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1781,POLYCARBONATE BY PHOSGENE MELT PROCESS VIA DIPHENYL CARBONATE USING FIXED-BED REACTORS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1780,POLYCARBONATE BY PLUG FLOW INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1779,POLYCARBONATE BY VERSALIS/LUMMUS DPC AND EPC’S VARIPLANT PC (MELT) PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1778,POLYCARBONATE PRODUCTION BY A CONVENTIONAL MELT PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1777,POLYCARBONATE PRODUCTION BY A MELT PROCESS SIMILAR TO ASAHI KASEI PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1789,POLYCARBONATE PRODUCTION BY AN INTERFACIAL PROCESS WITH ON-SITE PHOSGENE GENERATION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1800,POLYCARBONATE VIA DOW PHOSGENATION PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1803,"POLYCARBONATE, POLYESTER FROM PHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1804,"POLYCARBONATE, POLYESTER FROM POLYESTER DICARBOXYLIC ACID (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1805,"POLYCARBONATE, POLYESTER FROM TEREPHTHALIC ACID (INTERF.,TRANSEST.,SOLID STATE)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1806,"POLYCARBONATE, POLYESTER FROM TEREPHTHALOYL CHLORIDE (INTERFACIAL PROCESS)",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1802,PRODUCTION OF POLYCARBONATE USING SUPERCRITICAL CO2 AS A RAW MATERIAL,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,SABIC
1801,POLYCARBONATE BY A LOW METHYLENE CHLORIDE INTERFACIAL PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,n.a.
1798,"POLYCARBONATE BY ASAHI KASEI NON-PHOSGENE MELT PROCESS WITH INTEGRATED EC, DMC AND DPC GENERATION",POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,n.a.
1797,POLYCARBONATE BY ASAHI KASEI’S DPC AND MELT PC PROCESS,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,n.a.
1796,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH C7 ANTISOLVENT POLYMER RECOVERY,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,n.a.
1795,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM AQUEOUS PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,n.a.
1794,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH POLYMER RECOVERY FROM TOLUENE PHASE,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,n.a.
1793,POLYCARBONATE BY BATCH INTERFACIAL PROCESS WITH RECYCLE OF SATURATED SALT SOLUTION,POLYCARBONATES,BISPHENOL A,PHOSGENE FREE,n.a.
